blocksize, gridsize, runtime
10,1,2516
10,2,2159
10,3,2147
10,4,2140
10,5,2191
10,6,2170
10,7,2161
10,8,2130
10,9,2120
10,10,2127
10,11,2128
10,12,2132
10,13,2118
10,14,2127
10,15,2129
10,16,2131
10,17,2127
10,18,2137
10,19,2137
10,20,2127
10,21,2132
10,22,2128
10,23,2143
10,24,2131
10,25,2133
10,26,2134
10,27,2134
10,28,2130
10,29,2133
10,30,2129
10,31,2133
10,32,2130
10,33,2131
10,34,2132
10,35,2128
10,36,2131
10,37,2134
10,38,2133
10,39,2132
10,40,2133
10,41,2134
10,42,2136
10,43,2136
10,44,2135
10,45,2135
10,46,2134
10,47,2136
10,48,2135
10,49,2149
10,50,2139
10,51,2137
10,52,2137
10,53,2156
10,54,2144
10,55,2141
10,56,2141
10,57,2142
10,58,2141
10,59,2136
10,60,2139
10,61,2142
10,62,2141
10,63,2136
10,64,2141
10,65,2154
10,66,2141
10,67,2141
10,68,2143
10,69,2144
10,70,2144
10,71,2145
10,72,2144
10,73,2150
10,74,2146
10,75,2144
10,76,2144
10,77,2155
10,78,2144
10,79,2145
10,80,2148
10,81,2145
10,82,2052
10,83,1967
10,84,1969
10,85,1968
10,86,1967
10,87,1971
10,88,1971
10,89,1987
10,90,1969
10,91,1970
10,92,1992
10,93,1984
10,94,1984
10,95,1984
10,96,1986
10,97,1984
10,98,1982
10,99,1983
10,100,1985
20,1,1218
20,2,1209
20,3,1204
20,4,1203
20,5,1221
20,6,1213
20,7,1210
20,8,1206
20,9,1210
20,10,1209
20,11,1205
20,12,1208
20,13,1210
20,14,1208
20,15,1208
20,16,1208
20,17,1212
20,18,1211
20,19,1210
20,20,1211
20,21,1211
20,22,1210
20,23,1211
20,24,1209
20,25,1209
20,26,1210
20,27,1211
20,28,1210
20,29,1211
20,30,1210
20,31,1210
20,32,1211
20,33,1211
20,34,1210
20,35,1209
20,36,1222
20,37,1212
20,38,1210
20,39,1211
20,40,1210
20,41,1209
20,42,1211
20,43,1210
20,44,1210
20,45,1210
20,46,1211
20,47,1209
20,48,1210
20,49,1231
20,50,1216
20,51,1209
20,52,1211
20,53,1235
20,54,1224
20,55,1221
20,56,1212
20,57,1216
20,58,1210
20,59,1213
20,60,1213
20,61,1237
20,62,1224
20,63,1214
20,64,1220
20,65,1236
20,66,1226
20,67,1222
20,68,1219
20,69,1221
20,70,1225
20,71,1223
20,72,1224
20,73,1240
20,74,1230
20,75,1222
20,76,1226
20,77,1247
20,78,1239
20,79,1236
20,80,1233
20,81,1237
20,82,1234
20,83,1236
20,84,1235
20,85,1247
20,86,1246
20,87,1233
20,88,1243
20,89,1255
20,90,1243
20,91,1252
20,92,1248
20,93,1256
20,94,1246
20,95,1247
20,96,1253
20,97,1289
20,98,1283
20,99,1268
20,100,1264
30,1,980
30,2,974
30,3,971
30,4,966
30,5,983
30,6,977
30,7,974
30,8,966
30,9,961
30,10,917
30,11,915
30,12,918
30,13,924
30,14,917
30,15,916
30,16,917
30,17,924
30,18,922
30,19,921
30,20,918
30,21,919
30,22,919
30,23,919
30,24,920
30,25,919
30,26,920
30,27,919
30,28,919
30,29,927
30,30,923
30,31,923
30,32,920
30,33,919
30,34,920
30,35,920
30,36,921
30,37,920
30,38,920
30,39,921
30,40,921
30,41,930
30,42,923
30,43,922
30,44,921
30,45,922
30,46,921
30,47,921
30,48,923
30,49,945
30,50,939
30,51,935
30,52,936
30,53,949
30,54,944
30,55,941
30,56,938
30,57,941
30,58,941
30,59,938
30,60,939
30,61,953
30,62,947
30,63,943
30,64,941
30,65,953
30,66,950
30,67,948
30,68,944
30,69,948
30,70,945
30,71,946
30,72,942
30,73,956
30,74,950
30,75,952
30,76,949
30,77,960
30,78,954
30,79,948
30,80,955
30,81,952
30,82,954
30,83,961
30,84,959
30,85,972
30,86,969
30,87,974
30,88,960
30,89,962
30,90,970
30,91,969
30,92,968
30,93,973
30,94,979
30,95,971
30,96,971
30,97,1035
30,98,1020
30,99,1018
30,100,1022
40,1,724
40,2,720
40,3,717
40,4,717
40,5,726
40,6,723
40,7,722
40,8,716
40,9,715
40,10,713
40,11,716
40,12,713
40,13,718
40,14,717
40,15,715
40,16,716
40,17,721
40,18,718
40,19,718
40,20,717
40,21,717
40,22,717
40,23,717
40,24,717
40,25,732
40,26,727
40,27,724
40,28,726
40,29,737
40,30,731
40,31,727
40,32,729
40,33,727
40,34,728
40,35,728
40,36,732
40,37,738
40,38,734
40,39,730
40,40,729
40,41,740
40,42,732
40,43,733
40,44,730
40,45,731
40,46,733
40,47,733
40,48,731
40,49,788
40,50,775
40,51,772
40,52,758
40,53,792
40,54,780
40,55,776
40,56,764
40,57,789
40,58,778
40,59,776
40,60,770
40,61,801
40,62,791
40,63,780
40,64,777
40,65,801
40,66,789
40,67,789
40,68,786
40,69,801
40,70,790
40,71,786
40,72,784
40,73,876
40,74,859
40,75,852
40,76,835
40,77,866
40,78,851
40,79,851
40,80,839
40,81,871
40,82,856
40,83,851
40,84,842
40,85,889
40,86,877
40,87,872
40,88,851
40,89,873
40,90,864
40,91,864
40,92,861
40,93,902
40,94,874
40,95,867
40,96,872
40,97,1001
40,98,985
40,99,984
40,100,970
51,1,569
51,2,568
51,3,563
51,4,563
51,5,572
51,6,570
51,7,569
51,8,563
51,9,563
51,10,563
51,11,563
51,12,562
51,13,568
51,14,564
51,15,563
51,16,563
51,17,569
51,18,568
51,19,566
51,20,566
51,21,566
51,22,566
51,23,565
51,24,566
51,25,579
51,26,575
51,27,574
51,28,573
51,29,581
51,30,578
51,31,577
51,32,579
51,33,575
51,34,576
51,35,577
51,36,576
51,37,585
51,38,581
51,39,578
51,40,580
51,41,588
51,42,584
51,43,586
51,44,584
51,45,584
51,46,584
51,47,582
51,48,587
51,49,637
51,50,626
51,51,617
51,52,608
51,53,635
51,54,625
51,55,627
51,56,623
51,57,631
51,58,632
51,59,625
51,60,619
51,61,658
51,62,654
51,63,650
51,64,633
51,65,641
51,66,631
51,67,634
51,68,638
51,69,671
51,70,653
51,71,647
51,72,654
51,73,741
51,74,733
51,75,728
51,76,718
51,77,708
51,78,722
51,79,739
51,80,743
51,81,763
51,82,742
51,83,739
51,84,738
51,85,844
51,86,820
51,87,817
51,88,775
51,89,778
51,90,771
51,91,792
51,92,785
51,93,811
51,94,775
51,95,787
51,96,782
51,97,931
51,98,926
51,99,935
51,100,925
61,1,478
61,2,473
61,3,470
61,4,469
61,5,478
61,6,475
61,7,473
61,8,470
61,9,471
61,10,471
61,11,470
61,12,472
61,13,478
61,14,476
61,15,473
61,16,471
61,17,479
61,18,478
61,19,476
61,20,472
61,21,476
61,22,476
61,23,475
61,24,474
61,25,488
61,26,485
61,27,484
61,28,484
61,29,493
61,30,492
61,31,489
61,32,486
61,33,489
61,34,489
61,35,490
61,36,488
61,37,496
61,38,494
61,39,495
61,40,490
61,41,498
61,42,495
61,43,495
61,44,499
61,45,501
61,46,499
61,47,499
61,48,501
61,49,543
61,50,532
61,51,539
61,52,526
61,53,538
61,54,532
61,55,533
61,56,538
61,57,549
61,58,547
61,59,556
61,60,558
61,61,604
61,62,597
61,63,591
61,64,581
61,65,578
61,66,581
61,67,578
61,68,593
61,69,608
61,70,596
61,71,590
61,72,595
61,73,685
61,74,671
61,75,698
61,76,666
61,77,677
61,78,668
61,79,669
61,80,692
61,81,700
61,82,703
61,83,697
61,84,699
61,85,778
61,86,772
61,87,785
61,88,771
61,89,770
61,90,733
61,91,744
61,92,759
61,93,763
61,94,758
61,95,763
61,96,769
61,97,917
61,98,905
61,99,903
61,100,862
71,1,411
71,2,408
71,3,407
71,4,406
71,5,412
71,6,410
71,7,410
71,8,407
71,9,407
71,10,408
71,11,407
71,12,406
71,13,418
71,14,414
71,15,412
71,16,416
71,17,419
71,18,418
71,19,418
71,20,418
71,21,418
71,22,418
71,23,417
71,24,417
71,25,424
71,26,420
71,27,421
71,28,424
71,29,426
71,30,428
71,31,425
71,32,426
71,33,427
71,34,430
71,35,433
71,36,433
71,37,445
71,38,441
71,39,441
71,40,439
71,41,446
71,42,442
71,43,443
71,44,446
71,45,451
71,46,459
71,47,458
71,48,447
71,49,513
71,50,500
71,51,499
71,52,490
71,53,500
71,54,491
71,55,502
71,56,510
71,57,535
71,58,517
71,59,527
71,60,523
71,61,610
71,62,613
71,63,618
71,64,606
71,65,616
71,66,618
71,67,595
71,68,612
71,69,613
71,70,612
71,71,618
71,72,612
71,73,717
71,74,711
71,75,711
71,76,723
71,77,711
71,78,704
71,79,711
71,80,703
71,81,700
71,82,704
71,83,706
71,84,699
71,85,792
71,86,767
71,87,767
71,88,737
71,89,739
71,90,731
71,91,740
71,92,749
71,93,760
71,94,764
71,95,767
71,96,781
71,97,914
71,98,918
71,99,913
71,100,896
81,1,362
81,2,361
81,3,360
81,4,359
81,5,364
81,6,362
81,7,362
81,8,359
81,9,359
81,10,359
81,11,361
81,12,359
81,13,369
81,14,367
81,15,365
81,16,365
81,17,371
81,18,367
81,19,369
81,20,369
81,21,370
81,22,369
81,23,369
81,24,367
81,25,376
81,26,373
81,27,372
81,28,379
81,29,381
81,30,381
81,31,381
81,32,385
81,33,387
81,34,386
81,35,387
81,36,393
81,37,414
81,38,410
81,39,414
81,40,400
81,41,405
81,42,401
81,43,407
81,44,414
81,45,431
81,46,416
81,47,426
81,48,426
81,49,488
81,50,488
81,51,483
81,52,487
81,53,476
81,54,482
81,55,486
81,56,500
81,57,514
81,58,501
81,59,507
81,60,501
81,61,614
81,62,599
81,63,612
81,64,603
81,65,598
81,66,592
81,67,612
81,68,608
81,69,614
81,70,598
81,71,598
81,72,609
81,73,714
81,74,712
81,75,710
81,76,708
81,77,718
81,78,699
81,79,707
81,80,704
81,81,714
81,82,707
81,83,702
81,84,700
81,85,796
81,86,770
81,87,769
81,88,735
81,89,732
81,90,763
81,91,741
81,92,759
81,93,773
81,94,784
81,95,767
81,96,808
81,97,942
81,98,955
81,99,949
81,100,920
92,1,320
92,2,317
92,3,316
92,4,314
92,5,319
92,6,318
92,7,345
92,8,316
92,9,317
92,10,316
92,11,317
92,12,318
92,13,329
92,14,324
92,15,322
92,16,324
92,17,329
92,18,327
92,19,326
92,20,326
92,21,328
92,22,327
92,23,325
92,24,328
92,25,336
92,26,329
92,27,330
92,28,342
92,29,345
92,30,345
92,31,345
92,32,348
92,33,354
92,34,351
92,35,350
92,36,357
92,37,385
92,38,386
92,39,388
92,40,374
92,41,383
92,42,384
92,43,381
92,44,382
92,45,406
92,46,392
92,47,398
92,48,398
92,49,480
92,50,483
92,51,475
92,52,467
92,53,469
92,54,466
92,55,470
92,56,493
92,57,503
92,58,490
92,59,492
92,60,496
92,61,597
92,62,593
92,63,599
92,64,598
92,65,587
92,66,592
92,67,604
92,68,604
92,69,599
92,70,590
92,71,603
92,72,602
92,73,717
92,74,716
92,75,707
92,76,712
92,77,696
